your role,a beverage you drank this week,when,how much
Analyst,Coffee,2026-03-02,2 cups
analyst,coffee,3/2/26,2
Data Analyst,COFFEE,March 2 2026,2 c
IT Specialist,Tea,2026-03-03,1 mug
IT specialist,tea (green),Tuesday,1
Program Manager,Water,2026-03-03,1 litre
Prog. Mgr,water,3-3-2026,1000ml
Analyst,Coffee,2026-03-02,2 cups
Records Officer,Cofee,2026-03-04,3
Records Officer,Coffee,2026-03-04,3
FOIA Officer,Diet Coke,yesterday,1 can
FOIA Officer,diet coke,2026-03-05,12 oz
Contractor,Espresso,2026-03-05,
,Tea,2026-03-05,2
Analyst,,2026-03-06,1
Statistician,Coffee,2026-02-30,4
Statistician,Coffee,2027-03-06,4
Developer,Energy drink,2026-03-06,a lot
Developer,Redbull,2026-03-06,-1
Help Desk,Coffee,2025-11-14,2
Help Desk,Coffee,last year,2
Analyst II,Herbal tea,2026-03-07,0.5
analyst 2,herbal tea,07/03/2026,half a cup
Manager,Coffee,2026-03-07,99
Intern,juice,2026-03-07,1 glass
Intern,Orange Juice,2026-03-07,1 glass
Auditor,Coffee & tea,2026-03-08,"2, 1"
auditor,Coffee and tea,2026-03-08,2 and 1
Analyst,Water,,3
Chief Data Officer,Coffee,2026-03-09,two
