"sr_number","sr_type","sr_short_code","created_department","owner_department","status","origin","created_date","last_modified_date","closed_date","street_address","city","state","zip_code","street_number","street_direction","street_name","street_type","duplicate","legacy_record","legacy_sr_number","parent_sr_number","community_area","ward","electrical_district","electricity_grid","police_sector","police_district","police_beat","precinct","sanitation_division_days","created_hour","created_day_of_week","created_month","x_coordinate","y_coordinate","latitude","longitude","location"
"SR26-01532880","Tree Emergency","SEC",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:14:53.000","2026-08-01T14:14:55.000",,"1065 W WINONA ST",,,,"1065","W","WINONA","ST","false","false",,,"3","48","2","N010","2","20","2024","21",,"14","7","8","1168002.3048710467","1934234.938276621","41.975091000941","-87.657579000002","
,  
(41.975091000941, -87.657579000002)"
"SR26-01532879","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:14:53.000","2026-08-01T14:14:54.000","2026-08-01T14:14:53.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532878","Sanitation Code Violation","SCB",,"Streets and Sanitation","Open","Internet","2026-08-01T14:14:48.000","2026-08-01T14:14:53.000",,"1160 W DIVERSEY AVE","Chicago","Illinois","60614","1160","W","DIVERSEY","AVE","false","false",,,"6","44","4","N015","3","19","1933","9",,"14","7","8","1167923.1672628026","1918802.6874517892","41.932746000941","-87.658317000002","
,  
(41.932746000941, -87.658317000002)"
"SR26-01532877","Abandoned Vehicle Complaint","SKA",,"Streets and Sanitation","Open","Internet","2026-08-01T14:14:20.000","2026-08-01T14:14:24.000",,"2814 W MELROSE ST","Chicago","Illinois","60618","2814","W","MELROSE","ST","false","false",,,"21","33","4","I014","3","17","1733","4",,"14","7","8","1156961.916353198","1921523.1901665244","41.940441000941","-87.698524500002","
,  
(41.940441000941, -87.698524500002)"
"SR26-01532876","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:14:16.000","2026-08-01T14:14:16.000","2026-08-01T14:14:16.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532875","Graffiti Removal Request","GRAF",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:14:11.000","2026-08-01T14:14:15.000",,"6159 W DICKENS AVE",,,,"6159","W","DICKENS","AVE","false","false",,,"19","29","3","A017","1","25","2512","9",,"14","7","8","1135042.3124649746","1912981.5764652027","41.917419000941","-87.779290500002","
,  
(41.917419000941, -87.779290500002)"
"SR26-01532874","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T14:13:58.000","2026-08-01T14:13:59.000","2026-08-01T14:13:59.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532873","Tree Emergency","SEC",,"Streets and Sanitation","Open","Internet","2026-08-01T14:13:56.000","2026-08-01T14:13:59.000",,"2244 N SEMINARY AVE","Chicago","Illinois","60614","2244","N","SEMINARY","AVE","false","false",,,"7","43","5","N017","1","18","1811","21",,"14","7","8","1168509.4613594627","1915268.3829438174","41.923035000941","-87.656265000002","
,  
(41.923035000941, -87.656265000002)"
"SR26-01532872","Alley Sewer Inspection Request","AAI",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T14:13:45.000","2026-08-01T14:13:49.000",,"2825 N TALMAN AVE",,,,"2825","N","TALMAN","AVE","false","false",,,"21","35","4","J015","1","14","1411","17",,"14","7","8","1158294.8282004","1918791.184201731","41.932917000941","-87.693700500002","
,  
(41.932917000941, -87.693700500002)"
"SR26-01532871","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:13:45.000","2026-08-01T14:13:46.000","2026-08-01T14:13:45.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532870","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:13:31.000","2026-08-01T14:13:32.000","2026-08-01T14:13:32.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532869","Sanitation Code Violation","SCB",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:13:31.000","2026-08-01T14:13:32.000",,"621 W BELMONT AVE",,,,"621","W","BELMONT","AVE","false","false",,,"6","44","4","O015","3","19","1934","21",,"14","7","8","1171462.0690520531","1921395.6490484334","41.939784000941","-87.645235500002","
,  
(41.939784000941, -87.645235500002)"
"SR26-01532868","Water in Basement Complaint","AAF",,"DWM - Department of Water Management","Open","Mobile Device","2026-08-01T14:13:30.000","2026-08-01T14:13:37.000",,"2227 N CLYBOURN AVE",,,,"2227","N","CLYBOURN","AVE","false","false",,,"7","2","5","M017","1","18","1811","25",,"14","7","8","1166135.8851351805","1914964.4188290269","41.922252000941","-87.664995000002","
,  
(41.922252000941, -87.664995000002)"
"SR26-01532867","Finance Parking Code Enforcement Review","FPCE",,"Finance","Completed","Internet","2026-08-01T14:13:22.000","2026-08-01T14:13:22.000","2026-08-01T14:13:23.000","6245 W DIVERSEY AVE","Chicago","Illinois","60639","6245","W","DIVERSEY","AVE","false","false",,,"19","36","3","A016","1","25","2512","7",,"14","7","8","1134115.6185110048","1917865.7037197978","41.930838000941","-87.782580000002","
,  
(41.930838000941, -87.782580000002)"
"SR26-01532866","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:13:07.000","2026-08-01T14:13:09.000","2026-08-01T14:13:08.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532865","Tree Debris Clean-Up Request","SEL",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:12:59.000","2026-08-01T14:13:00.000",,"9105 S ADA ST",,,,"9105","S","ADA","ST","false","false",,,"73","21","13","M044","2","22","2222","28",,"14","7","8","1168949.4065064506","1844355.4443498002","41.728433260242","-87.656700569676","
,  
(41.728433260242, -87.656700569676)"
"SR26-01532864","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:12:57.000","2026-08-01T14:12:58.000","2026-08-01T14:12:58.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532863","Tree Removal Inspection","SEE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:12:46.000","2026-08-01T14:12:50.000",,"5323 S MOZART ST",,,,"5323","S","MOZART","ST","false","false",,,"63","14","11","I034","2","09","0923","14",,"14","7","8","1158356.8582372128","1869126.2289384233","41.79663000094","-87.694830000002","
,  
(41.79663000094, -87.694830000002)"
"SR26-01532862","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:12:46.000","2026-08-01T14:12:47.000","2026-08-01T14:12:46.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532861","Clean Vacant Lot Request","SCT",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:12:38.000","2026-08-01T14:12:39.000",,"5637 S HOYNE AVE",,,,"5637","S","HOYNE","AVE","false","false",,,"67","15","11","K035","1","07","0715","17",,"14","7","8","1163421.996819985","1867094.8875399237","41.79095100094","-87.676312500002","
,  
(41.79095100094, -87.676312500002)"
"SR26-01532860","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:12:35.000","2026-08-01T14:12:36.000","2026-08-01T14:12:36.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532859","Garbage Cart Maintenance","SIE",,"Streets and Sanitation","Open","Mobile Device","2026-08-01T14:12:31.000","2026-08-01T14:12:32.000",,"10563 S ST LOUIS AVE",,,,"10563","S","ST LOUIS","AVE","true","false",,"SR26-01339483","74","19","13","H047","1","22","2211","30",,"14","7","8","1154980.3565903606","1834094.0275927943","41.70056400094","-87.708145500002","
,  
(41.70056400094, -87.708145500002)"
"SR26-01532858","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:12:28.000","2026-08-01T14:12:29.000","2026-08-01T14:12:29.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532857","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:12:01.000","2026-08-01T14:12:02.000","2026-08-01T14:12:01.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532856","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T14:11:43.000","2026-08-01T14:11:44.000","2026-08-01T14:11:43.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532855","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:11:23.000","2026-08-01T14:11:24.000","2026-08-01T14:11:23.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532854","Street Light Pole Damage Complaint","SFK","Streets and Sanitation","CDOT - Department of Transportation","Open","Phone Call","2026-08-01T14:11:06.000","2026-08-01T14:11:12.000",,"3713 W 86TH PL","Chicago","Illinois","60652","3713","W","86TH","PL","false","false",,,"70","18","10","G042","3","08","0834","13",,"14","7","8","1153068.424262688","1846880.7538538885","41.73569100094","-87.714810000002","
,  
(41.73569100094, -87.714810000002)"
"SR26-01532852","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:10:47.000","2026-08-01T14:10:48.000","2026-08-01T14:10:48.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532851","Water On Street Complaint","AAE","311 City Services","DWM - Department of Water Management","Open","Phone Call","2026-08-01T14:10:33.000","2026-08-01T14:14:53.000",,"7411 N CLAREMONT AVE","Chicago","Illinois","60645","7411","N","CLAREMONT","AVE","true","false",,"SR26-01107955","2","50","2","K004","1","24","2411","7",,"14","7","8","1159485.8287250078","1949108.9822524735","42.016086000941","-87.688485000002","
,  
(42.016086000941, -87.688485000002)"
"SR26-01532850","Dead Animal Pick-Up Request","SGQ",,"Streets and Sanitation","Open","Internet","2026-08-01T14:10:23.000","2026-08-01T14:10:23.000",,"4312 N LAWNDALE AVE","Chicago","Illinois","60618","4312","N","LAWNDALE","AVE","true","false",,"SR26-01532738","16","33","3","G012","2","17","1723","8",,"14","7","8","1150869.9706648823","1928474.671175466","41.959638000941","-87.720732000002","
,  
(41.959638000941, -87.720732000002)"
"SR26-01532849","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:10:04.000","2026-08-01T14:10:05.000","2026-08-01T14:10:04.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532848","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:10:03.000","2026-08-01T14:10:04.000","2026-08-01T14:10:03.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532847","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:09:21.000","2026-08-01T14:09:21.000","2026-08-01T14:09:21.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532846","311 INFORMATION ONLY CALL","311IOC","311 City Services","311 City Services","Completed","Phone Call","2026-08-01T14:08:48.000","2026-08-01T14:08:49.000","2026-08-01T14:08:49.000","2111 W Lexington ST","Chicago","Illinois","60612","2111","W","Lexington","ST","false","false",,,,,,,,,,,,"14","7","8",,,,,
"SR26-01532845","Aircraft Noise Complaint","AVN",,"Aviation","Completed","Internet","2026-08-01T14:08:47.000","2026-08-01T14:08:48.000","2026-08-01T14:08:48.000","10510 W ZEMKE RD","Chicago","Illinois","60666","10510","W","ZEMKE","RD","false","false",,,,,,,,,,,,"14","7","8",,,,,
